0,1.95199E+11,0.3,386487369.6,1.69E-05,26.18739906,8233.277418,509.0344802,255.1857435
1,1.95141E+11,0.3,389904079,1.69E-05,26.08471643,8232.957233,509.0320545,255.5171117
2,1.95084E+11,0.3,393107707.3,1.69E-05,25.98293173,8232.634776,509.0297766,255.8499685
3,1.95028E+11,0.3,396241201,1.69E-05,25.88205425,8232.310053,509.0277153,256.1837979
4,1.94973E+11,0.3,399447506.3,1.69E-05,25.78209331,8231.983072,509.0259397,256.5180841
5,1.94919E+11,0.3,402869569.9,1.68E-05,25.68305823,8231.653841,509.0245186,256.8523113
6,1.94866E+11,0.3,406650338.2,1.68E-05,25.5849583,8231.322369,509.0235209,257.1859637
7,1.94815E+11,0.3,410932757.5,1.68E-05,25.48780284,8230.988663,509.0230155,257.5185255
8,1.94765E+11,0.3,416330847.5,1.68E-05,25.39148304,8230.652554,509.0230566,257.8496474
9,1.94716E+11,0.3,424005994.5,1.68E-05,25.29593437,8230.313087,509.0235574,258.1798108
10,1.94669E+11,0.3,432035500.7,1.67E-05,25.2021031,8229.96971,509.0243646,258.5092387
11,1.94626E+11,0.3,438201734.9,1.67E-05,25.11102155,8229.621942,509.0253264,258.8380924
12,1.94587E+11,0.3,441639627.7,1.67E-05,25.02269451,8229.269993,509.0264201,259.1664684
13,1.94549E+11,0.3,444646735.9,1.67E-05,24.93507704,8228.915446,509.0278816,259.4943162
14,1.94512E+11,0.3,447383832.3,1.67E-05,24.84808343,8228.558561,509.0297007,259.8216917
15,1.94476E+11,0.3,449875408.3,1.67E-05,24.76173917,8228.199525,509.031853,260.1486574
16,1.9444E+11,0.3,452145955.3,1.67E-05,24.67606972,8227.838525,509.0343141,260.4752761
17,1.94406E+11,0.3,454219964.9,1.66E-05,24.59110055,8227.475748,509.0370596,260.8016103
18,1.94372E+11,0.3,456121928.6,1.66E-05,24.50685715,8227.11138,509.0400651,261.1277227
19,1.94339E+11,0.3,457876337.9,1.66E-05,24.42336497,8226.745608,509.0433063,261.4536757
20,1.94307E+11,0.3,459507684.2,1.66E-05,24.34064949,8226.378618,509.0467588,261.7795321
21,1.94275E+11,0.3,461040459.1,1.66E-05,24.25873619,8226.010598,509.0503982,262.1053544
22,1.94244E+11,0.3,462499154,1.66E-05,24.17765054,8225.641734,509.0542001,262.4312052
23,1.94214E+11,0.3,463908260.4,1.66E-05,24.097418,8225.272212,509.0581402,262.7571472
24,1.94185E+11,0.3,465292269.9,1.66E-05,24.01806406,8224.90222,509.062194,263.0832429
25,1.94156E+11,0.3,466675673.9,1.66E-05,23.93961418,8224.531944,509.0663373,263.409555
26,1.94128E+11,0.3,468082963.9,1.66E-05,23.86209383,8224.16157,509.0705455,263.736146
27,1.94101E+11,0.3,469538631.4,1.66E-05,23.7855285,8223.791286,509.0747945,264.0630786
28,1.94074E+11,0.3,471067167.9,1.66E-05,23.70994364,8223.421278,509.0790596,264.3904153
29,1.94048E+11,0.3,472693064.8,1.66E-05,23.63536473,8223.051733,509.0833167,264.7182187
30,1.94023E+11,0.3,474440813.8,1.66E-05,23.56181725,8222.682837,509.0875413,265.0465516
31,1.93998E+11,0.3,476319246.1,1.66E-05,23.48960276,8222.314105,509.0918122,265.3753675
32,1.93975E+11,0.3,478240962.7,1.66E-05,23.42004297,8221.942966,509.096599,265.7043981
33,1.93953E+11,0.3,480158320.7,1.66E-05,23.35273504,8221.571638,509.1017409,266.0343284
34,1.93932E+11,0.3,482035250.2,1.66E-05,23.28700255,8221.203048,509.1069755,266.3659696
35,1.93912E+11,0.3,483850767.2,1.66E-05,23.22270519,8220.837086,509.1121305,266.7002741
36,1.93892E+11,0.3,485629968.4,1.66E-05,23.16054969,8220.469509,509.1173545,267.0373368
37,1.93873E+11,0.3,487366856.8,1.66E-05,23.09925588,8220.108046,509.1226626,267.3755235
38,1.93855E+11,0.3,489052220.4,1.66E-05,23.03739819,8219.761277,509.1280525,267.7131191
39,1.93837E+11,0.3,490699896.1,1.66E-05,22.9653565,8219.411012,509.1335181,268.0489452
40,1.9382E+11,0.3,492323144.4,1.66E-05,22.88137626,8219.045081,509.1390619,268.383857
41,1.93805E+11,0.3,493875189.8,1.65E-05,22.81114912,8218.725309,509.1447039,268.7189415
42,1.93792E+11,0.3,495307983.8,1.65E-05,22.78089171,8218.515054,509.1504646,269.0552756
43,1.9378E+11,0.3,496631690.6,1.65E-05,22.78332166,8218.393009,509.1563439,269.3930917
44,1.93769E+11,0.3,497898026.5,1.65E-05,22.79055761,8218.287186,509.1623182,269.7317534
45,1.93759E+11,0.3,499114271.2,1.65E-05,22.80206194,8218.195427,509.1683746,270.0711257
46,1.93749E+11,0.3,500287677.3,1.65E-05,22.81731335,8218.11562,509.1745003,270.411074
47,1.9374E+11,0.3,501425497.1,1.65E-05,22.83579054,8218.045651,509.1806824,270.7514638
48,1.93731E+11,0.3,502534983,1.65E-05,22.85697218,8217.983406,509.1869082,271.0921605
49,1.93723E+11,0.3,503623387.4,1.65E-05,22.88033698,8217.92677,509.1931647,271.4330296
50,1.93716E+11,0.3,504697962.7,1.65E-05,22.90536363,8217.873631,509.1994392,271.7739364
51,1.93709E+11,0.3,505765961.2,1.65E-05,22.93153082,8217.821874,509.2057187,272.1147464
52,1.93703E+11,0.3,506834635.4,1.65E-05,22.95831724,8217.769385,509.2119905,272.455325
53,1.93698E+11,0.3,507911237.6,1.65E-05,22.98520158,8217.714051,509.2182417,272.7955378
54,1.93694E+11,0.3,509003595.2,1.65E-05,23.01222864,8217.654544,509.2244658,273.1352172
